feature,importance
recipient_is_new,0.44962054
amount,0.13572721
is_tiny_probe,0.11012345
amount_log,0.09451219
amount_ratio,0.08742378
is_large_spike,0.07493736
seclog_critical_count,0.006152421
status_2fa,0.0029317776
untrusted_device_ratio,0.0024471804
trust_score,0.0020816305
status_blocked,0.002021653
average_transaction_amount,0.001972228
seclog_count,0.0018247495
seclog_risk_mean,0.0017640246
tx_hour,0.001569796
is_weekend,0.001487935
balance,0.0014815816
login_risk_score_mean,0.0014580144
login_success_rate,0.0014493554
amount_vs_balance,0.0014003044
user_age_days,0.001389735
status_held,0.0012605839
tx_dow,0.0012235526
login_vpn_count,0.0012129124
trust_delta_mean,0.0011710942
trust_change_count,0.0011468638
user_tx_count_24h,0.0011392251
browser_nunique,0.0011199886
login_country_nunique,0.0010440672
currency_foreign,0.0009596277
home_country_enc,0.0008551847
login_failed_attempts_total,0.00082972995
device_count,0.0007977969
trusted_device_count,0.00064275134
login_proxy_count,0.0006176486
session_country_mismatch,0.00049996824
session_country_enc,0.0004688931
beneficiary_tx_count,0.00040001512
seclog_high_count,0.0003723777
is_night,0.00027545064
os_nunique,0.00018526752
role_enc,0.0
